img,lane,starttime,endtime,num,,
0,0,220,370,0,,
0,1,350,500,1,,
0,2,480,630,2,,
0,0,590,740,3,,
0,1,710,860,4,,
0,2,710,860,5,,
0,0,820,970,6,,
0,2,820,970,7,,
0,2,950,1100,8,,
0,0,950,1100,9,,
0,1,950,1100,10,,
0,2,1228,1378,11,,
0,0,1289,1439,12,,61
0,1,1350,1500,13,,
0,2,1411,1561,14,,
0,0,1472,1622,15,,
0,1,1533,1683,16,,
0,2,1592,1742,17,,
0,0,1653,1803,18,,
0,1,1714,1864,19,,
0,2,1765,1915,20,,
0,0,1826,1976,21,,
0,1,1887,2037,22,,
0,2,1948,2098,23,,
0,0,2009,2159,24,,
0,1,2070,2220,25,,
0,2,2121,2271,26,,
0,0,2192,2342,27,,
0,0,2280,2430,28,,
0,1,2300,2450,29,,
0,2,2320,2470,30,,
0,2,2520,2670,31,,
0,1,2540,2690,32,,
0,0,2560,2710,33,,
0,1,2750,2900,34,,
0,2,2770,2920,35,,
0,0,2800,2940,36,,
0,0,3000,3150,37,,
0,2,3020,3170,38,,
0,1,3040,3190,39,,
0,1,3200,3350,40,,
0,2,3300,3450,41,,
0,0,3361,3511,42,,
0,1,3422,3572,43,,
0,2,3483,3633,44,,
0,0,3539,3689,45,,
0,1,3600,3750,46,,
0,2,3661,3811,47,,
0,0,3722,3872,48,,
0,1,3778,3928,49,,
0,2,3839,3989,50,,
0,0,3900,4050,51,,
0,1,3961,4111,52,,
0,2,4012,4162,53,,
0,0,4078,4228,54,,
0,1,4139,4289,55,,
0,0,4200,4350,56,,
0,0,4316,4466,57,,
0,1,4437,4587,58,,
0,2,4548,4698,59,,
0,0,4669,4819,60,,
0,1,4790,4940,61,,
0,2,4921,5071,62,,
0,0,5032,5182,63,,
0,1,5150,5300,64,,
0,2,5211,5361,65,,
0,0,5272,5422,66,,
0,1,5333,5483,67,,
0,2,5392,5542,68,,
0,0,5453,5603,69,,
0,1,5514,5664,70,,
0,2,5570,5720,71,,
0,0,5631,5781,72,,
0,1,5692,5842,73,,
0,2,5753,5903,74,,
0,0,5819,5969,75,,
0,1,5880,6030,76,,
0,2,5941,6091,77,,
0,0,5997,6147,78,,
0,0,6100,6250,79,,
0,1,6100,6250,80,,
0,0,6200,6350,81,,
0,1,6261,6411,82,,
0,2,6322,6472,83,,
0,0,6383,6533,84,,
0,1,6444,6594,85,,
0,2,6505,6655,86,,
0,0,6566,6716,87,,
0,1,6627,6777,88,,
0,2,6688,6838,89,,
0,0,6749,6899,90,,
0,1,6810,6960,91,,
0,2,6871,7021,92,,
0,0,6929,7082,93,,
0,1,6993,7143,94,,
0,2,7065,7220,95,,
0,1,7065,7220,96,,
0,1,7135,7285,97,1,
0,2,7196,7346,98,,
0,0,7257,7407,99,,
