img,lane,starttime,endtime,num
2,0,299,449,0
0,1,405,555,1
0,2,450,600,2
0,0,476,626,3
1,1,523,673,4
0,2,548,698,5
0,0,591,741,6
0,1,634,784,7
0,2,1120,1270,8
0,0,1141,1291,9
2,1,1165,1315,10
2,2,1188,1338,11
0,0,1233,1383,12
0,1,1256,1406,13
0,2,1295,1445,14
1,0,1344,1494,15
0,1,1365,1515,16
0,2,1431,1581,17
1,0,1677,1827,18
0,1,1700,1850,19
0,2,1724,1874,20
0,0,1754,1904,21
0,1,1792,1942,22
0,2,1852,2002,23
0,0,1882,2032,24
0,1,1920,2070,25
0,2,1965,2115,26
0,0,1990,2140,27
0,1,2029,2179,28
1,2,2050,2200,29
0,0,2074,2224,30
0,1,2108,2258,31
2,2,2146,2296,32
2,0,2187,2337,33
0,1,2231,2381,34
0,2,2274,2424,35
0,0,2387,2537,36
0,1,2406,2556,37
0,2,2430,2580,38
1,0,2475,2625,39
0,1,2496,2646,40
0,2,2571,2721,41
0,0,2588,2738,42
0,1,2609,2759,43
0,2,2654,2804,44
0,0,2677,2827,45
0,1,2720,2870,46
0,2,2765,2915,47
2,0,2786,2936,48
2,1,2944,3094,49
0,2,2970,3120,50
0,0,3010,3160,51
1,1,3055,3205,52
0,2,3100,3250,53
0,0,3142,3292,54
0,1,3187,3337,55
0,2,3230,3380,56
0,0,3275,3425,57
0,1,3322,3472,58
0,2,3366,3516,59
0,0,3411,3561,60
0,1,3450,3600,61
0,2,3496,3646,62
0,0,3533,3683,63
0,1,3584,3734,64
2,2,3627,3777,65
0,0,3671,3821,66
1,1,3716,3866,67
0,2,3763,3913,68
0,0,3806,3956,69
0,1,3846,3996,70
0,2,3893,4043,71
0,0,3938,4088,72
2,1,3983,4133,73
2,2,4030,4180,74
2,0,4075,4225,75
0,1,4115,4265,76
0,2,4164,4314,77
0,0,4205,4355,78
2,1,4250,4400,79
0,2,4294,4444,80
0,0,4339,4489,81
0,1,4382,4532,82
2,2,4431,4581,83
0,0,4471,4621,84
0,1,4516,4666,85
0,2,4563,4713,86
2,0,4610,4760,87
0,1,4653,4803,88
0,2,4695,4845,89
0,0,4742,4892,90
2,1,4785,4935,91
0,2,4830,4980,92
0,0,4875,5025,93
0,1,4922,5072,94
0,2,4962,5112,95
0,0,5007,5157,96
0,1,5054,5204,97
0,2,5099,5249,98
0,0,5141,5291,99
0,1,5188,5338,100
0,2,5233,5383,101
0,0,5274,5424,102
2,1,5320,5470,103
2,2,5367,5517,104
0,0,5414,5564,105
0,1,5459,5609,106
0,2,5500,5650,107
0,0,5542,5692,108
0,1,5587,5737,109
0,2,5634,5784,110
0,0,5677,5827,111
2,1,5719,5869,112
2,2,5766,5916,113
0,0,5809,5959,114
0,1,5856,6006,115
0,2,5899,6049,116
0,0,5946,6096,117
0,1,5990,6140,118
0,2,6059,6209,119
0,0,6118,6268,120
0,1,6340,6490,121
2,2,6411,6561,122
2,0,6475,6625,123
0,1,6699,6849,124
0,2,6765,6915,125
0,0,6829,6979,126
0,1,7053,7203,127
0,2,7123,7273,128
0,0,7194,7344,129
0,1,7403,7553,130
0,2,7454,7604,131
2,0,7501,7651,132
2,1,7548,7698,133
0,2,7592,7742,134
0,0,7637,7787,135
0,1,7682,7832,136
0,2,7723,7873,137
0,0,7770,7920,138
0,1,7814,7964,139
0,2,7859,8009,140
0,0,7902,8052,141
2,1,7947,8097,142
2,2,7991,8141,143
0,0,8036,8186,144
0,1,8079,8229,145
0,2,8122,8272,146
0,0,8166,8316,147
0,1,8211,8361,148
0,2,8254,8404,149
0,0,8299,8449,150
2,1,8343,8493,151
2,2,8388,8538,152
0,0,8433,8583,153
0,1,8476,8626,154
0,2,8548,8698,155
0,0,8614,8764,156
0,1,8843,8956,157
0,2,8917,9067,158
0,0,8968,9118,159
2,1,9192,9342,160
2,2,9363,9513,161
0,0,9542,9692,162
0,1,9617,9767,163
0,2,9685,9835,164
0,0,9899,10049,165
0,1,10076,10226,166
0,2,10253,10403,167
0,0,10347,10497,168
2,1,10434,10584,169
2,2,10526,10676,170
0,0,10611,10761,171
0,1,10703,10853,172
0,2,10786,10936,173
0,0,10880,11030,174
0,1,10965,11115,175
2,2,11034,11184,176
2,0,11055,11205,177
0,1,11125,11275,178
0,2,11147,11297,179
0,0,11211,11361,180
0,1,11236,11386,181
0,2,11283,11433,182
0,0,11304,11454,183
0,1,11328,11478,184
2,2,11496,11646,185
2,0,11541,11691,186
0,1,11586,11736,187
0,2,11631,11781,188
0,0,11678,11828,189
0,1,11857,12007,190
0,2,11900,12050,191
2,0,11942,12092,192
2,1,11985,12135,193
0,2,12030,12180,194
0,0,12175,12325,195
0,1,12207,12357,196
0,2,12279,12429,197
0,0,12382,12532,198
0,1,12452,12602,199
0,2,12474,12624,200
0,0,12540,12690,201
0,1,12565,12715,202
0,2,12631,12781,203
0,0,12655,12805,204
0,1,12723,12873,205
2,2,12747,12897,206
2,0,12813,12963,207
0,1,12834,12984,208
0,2,12922,13072,209
0,0,12971,13121,210
0,1,13011,13161,211
2,2,13054,13204,212
2,0,13099,13249,213
0,1,13146,13296,214
0,2,13192,13342,215
0,0,13235,13385,216
0,1,13276,13426,217
0,2,13325,13475,218
0,0,13367,13517,219
0,1,13412,13562,220
0,2,13455,13605,221
0,0,13500,13650,222
0,1,13544,13694,223
0,2,13589,13739,224
0,0,13632,13782,225
0,1,13677,13827,226
0,2,13724,13874,227
2,0,13768,13918,228
2,1,13792,13942,229
0,2,13813,13963,230
0,0,13875,14025,231
0,1,13901,14051,232
0,2,13963,14113,233
0,0,13984,14134,234
0,1,14052,14202,235
2,2,14076,14226,236
2,0,14142,14292,237
0,1,14167,14317,238
0,2,14234,14384,239
0,0,14255,14405,240
0,1,14319,14469,241
0,2,14344,14494,242
0,0,14381,14531,243
0,1,14428,14578,244
0,2,14472,14622,245
